Date and Time:                Fri Apr 13 12:22:48.444 2018
Software Version:             4.30.30034.0
Temperature (C):              -30
Model:                        DH334T-18U-03
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         2
Accumulate Cycle Time (secs): 2
Frequency (Hz):               0.5
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         true
Vertical Shift Speed (usecs): 6.5
Pixel Readout Rate (MHz):     0.05
563.5564	7103.45
563.77625	7071.44
563.99609	7048.73
564.21594	7042.22
564.43573	7038.52
564.65558	7025.97
564.87543	7007.6
565.09528	6996.12
565.31506	7002.16
565.53491	7023.87
565.75476	7043.92
565.97461	7043.31
566.1944	7023.06
566.41425	7003.31
566.63409	7000.69
566.85394	7013.16
567.07373	7020.26
567.29358	7001.85
567.51343	6970.86
567.73328	6965.69
567.95306	6992.14
568.17291	7012.09
568.39276	7007.46
568.61261	7003.68
568.83246	7008.21
569.05225	7001.4
569.27209	6993.87
569.49194	7007.17
569.71179	7031.82
569.93158	7052.63
570.15143	7068.24
570.37128	7072.89
570.59113	7062.98
570.81091	7054.24
571.03076	7058.62
571.25061	7066.02
571.47046	7062.34
571.69025	7048.87
571.9101	7041.95
572.12994	7051.5
572.34979	7069.4
572.56958	7092.75
572.78943	7125.23
573.00928	7153.34
573.22913	7159.22
573.44891	7146.46
573.66876	7129.38
573.88861	7115.19
574.10846	7098.63
574.32825	7070.52
574.5481	7035.21
574.76794	7005.33
574.98779	6994.47
575.20764	7020.41
575.42743	7081.83
575.64728	7142.33
575.86713	7159.5
576.08698	7125.09
576.30676	7073.55
576.52661	7045.08
576.74646	7046.08
576.96631	7054.83
577.1861	7050.75
577.40594	7034.05
577.62579	7021.9
577.84564	7019.78
578.06543	7015.85
578.28528	7004.44
578.50513	6985.72
578.72498	6965.26
578.94476	6956.91
579.16461	6961.45
579.38446	6969.71
579.60431	6973.17
579.8241	6961.67
580.04395	6938.55
580.26379	6924.56
580.48364	6936.09
580.70343	6974.71
580.92328	7030.59
581.14313	7080.1
581.36298	7098.76
581.58282	7086.93
581.80261	7061.82
582.02246	7030.12
582.24231	6987.85
582.46216	6941.14
582.68195	6919.99
582.90179	6952.59
583.12164	7021.51
583.34149	7080.17
583.56128	7096.56
583.78113	7063.25
584.00098	7003.5
584.22083	6963.1
584.44061	6962.77
584.66046	6978.12
584.88031	6978.47
585.10016	6963.33
585.31995	6948.49
585.53979	6939.73
585.75964	6934.07
585.97949	6932.98
586.19928	6940.09
586.41913	6955.52
586.63898	6971.57
586.85883	6969.72
587.07861	6939.38
587.29846	6903.66
587.51831	6895.58
587.73816	6911.3
587.95801	6931.76
588.1778	6977.92
588.39764	7112.79
588.61749	7362.01
588.83734	7618.69
589.05713	7714.1
589.27698	7627.12
589.49683	7471.06
589.71667	7298.01
589.93646	7110
590.15631	6951.3
590.37616	6858.81
590.59601	6822.61
590.8158	6812.56
591.03564	6801.59
591.25549	6787.51
591.47534	6788.37
591.69513	6805.45
591.91498	6815.48
592.13483	6798.25
592.35468	6769.24
592.57446	6771.23
592.79431	6810.91
593.01416	6843.34
593.23401	6844.71
593.4538	6852.82
593.67365	6895.57
593.89349	6933.09
594.11334	6920.77
594.33319	6885.31
594.55298	6876.02
594.77283	6881.48
594.99268	6864.3
595.21252	6844.5
595.43231	6860.97
595.65216	6888.82
595.87201	6885.39
596.09186	6875.05
596.31165	6899.19
596.53149	6946.29
596.75134	6982.4
596.97119	6998.71
597.19098	7000.83
597.41083	6983.36
597.63068	6950.91
597.85052	6940.28
598.07031	6959.58
598.29016	6962.46
598.51001	6939.94
598.72986	6928.42
598.94965	6924.41
599.16949	6905.25
599.38934	6882.8
599.60919	6872.71
599.82898	6871.91
600.04883	6876.56
600.26868	6882.16
600.48853	6886.86
600.70837	6893.97
600.92816	6887.79
601.14801	6856.27
601.36786	6829.42
601.58771	6827.06
601.8075	6833.39
602.02734	6843.16
602.24719	6857.43
602.46704	6875.66
602.68683	6905.22
602.90668	6938.88
603.12653	6948.84
603.34637	6917.57
603.56616	6869.05
603.78601	6842.32
604.00586	6846.25
604.22571	6869.05
604.4455	6891.04
604.66534	6902.25
604.88519	6915.08
605.10504	6944.96
605.32483	6982.55
605.54468	6998.26
605.76453	6987.47
605.98438	6981.92
606.20422	7003.91
606.42401	7047.14
606.64386	7093.58
606.86371	7117.71
607.08356	7100.13
607.30334	7050.34
607.52319	6991.38
607.74304	6931.64
607.96289	6870.65
608.18268	6816.72
608.40253	6779.1
608.62238	6756.87
608.84222	6744.08
609.06201	6733.89
609.28186	6722.68
609.50171	6707.99
609.72156	6686.3
609.94135	6660.17
610.16119	6636.96
610.38104	6622.61
610.60089	6616.02
610.82068	6608.07
611.04053	6594.01
611.26038	6586.11
611.48022	6602.93
611.70001	6638.09
611.91986	6658.06
612.13971	6650.63
612.35956	6643.71
612.57941	6656.34
612.79919	6676.44
613.01904	6696.61
613.23889	6718.33
613.45874	6724.87
613.67853	6699.49
613.89838	6655.36
614.11823	6613.08
614.33807	6573.47
614.55786	6533.1
614.77771	6502.78
614.99756	6498.18
615.21741	6522.78
615.43719	6566.35
615.65704	6616.26
615.87689	6653.96
616.09674	6657.51
616.31653	6633.55
616.53638	6617.55
616.75623	6637.7
616.97607	6686.23
617.19586	6728.37
617.41571	6741.91
617.63556	6737.29
617.85541	6729
618.0752	6709
618.29504	6679.71
618.51489	6664.69
618.73474	6673.64
618.95459	6693.48
619.17438	6713.14
619.39423	6728.15
619.61407	6725.38
619.83392	6698.23
620.05371	6668.7
620.27356	6655.73
620.49341	6644.01
620.71326	6620.7
620.93304	6601.19
621.15289	6592.23
621.37274	6584.08
621.59259	6582.76
621.81238	6598.22
622.03223	6617.64
622.25208	6620.28
622.47192	6604.27
622.69171	6581.79
622.91156	6565.72
623.13141	6569.34
623.35126	6588.44
623.57104	6591.72
623.79089	6564.64
624.01074	6535.11
624.23059	6531.1
624.45038	6543.03
624.67023	6540.95
624.89008	6516.69
625.10992	6494.08
625.32977	6492.07
625.54956	6503.04
625.76941	6513.28
625.98926	6511.65
626.20911	6491.27
626.42889	6465.54
626.64874	6456.71
626.86859	6472.09
627.08844	6504
627.30823	6535.93
627.52808	6550.57
627.74792	6544.15
627.96777	6530.48
628.18756	6530.58
628.40741	6555.91
628.62726	6594.54
628.84711	6620.59
629.06689	6617.88
629.28674	6594.48
629.50659	6578.39
629.72644	6585.12
629.94623	6605.31
630.16608	6617.67
630.38593	6607.69
630.60577	6576.97
630.82556	6538.36
631.04541	6518.19
631.26526	6535.7
631.48511	6576.27
631.70496	6603.4
631.92474	6597.83
632.14459	6568.64
632.36444	6537.1
632.58429	6521.9
632.80408	6524.92
633.02393	6528.85
633.24377	6517.49
633.46362	6494.81
633.68341	6475.15
633.90326	6464.04
634.12311	6460.14
634.34296	6462.19
634.56274	6465.8
634.78259	6463.1
635.00244	6447.03
635.22229	6420.8
635.44208	6400.12
635.66193	6393.82
635.88177	6397.1
636.10162	6407.57
636.32141	6423.59
636.54126	6431.11
636.76111	6422.85
636.98096	6410.89
637.20074	6394.88
637.42059	6370.2
